Sector de Actividad,Descripción
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza "
43,Comercio al por mayor
46,Comercio al por menor 
31-33,Industrias manufactureras
48-49,"Transportes, correos y almacenamiento"
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos"
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas 
